dt,type,orign_amount
2017-8-24,6,23303403.77
2017-8-25,6,20150441.87
2017-8-26,6,15541635.76
2017-8-27,6,15687322.91
2017-8-28,6,15951228.59
2017-8-29,6,18792439.74
2017-8-30,6,25700514.82
2017-8-31,6,23789564.47
2017-9-1,6,22241274.08
2017-9-2,6,11548873.71
2017-9-3,6,10324130.56
2017-9-4,6,15039153.68
2017-9-5,6,12846093
2017-9-6,6,18424607.86
2017-9-7,6,18798876
2017-9-8,6,17677274.67
2017-9-9,6,16736726.69
2017-9-10,6,17153951.5
2017-9-11,6,18423666.12
2017-9-12,6,20391687.8
2017-9-13,6,25017809
2017-9-14,6,20952456.51
2017-9-15,6,21303449.36
2017-9-16,6,19543309.92
2017-9-17,6,19497932.76
2017-9-18,6,22277228.3
2017-9-19,6,23805654.69
2017-9-20,6,26856038.78
2017-9-21,6,22219414.14
2017-9-22,6,20701247.01
2017-9-23,6,17031689.75
2017-9-24,6,17245651.8
2017-9-25,6,18096076.63
2017-9-26,6,18434090.47
2017-9-27,6,19467819.75
2017-9-28,6,9252186.55
2017-3-3,8,7056
2017-3-4,8,1794
2017-3-8,8,30384
2017-3-9,8,78168
2017-3-10,8,57840
2017-3-11,8,81468
2017-3-12,8,61128
2017-3-13,8,85884
2017-3-14,8,290808
2017-3-15,8,188154
2017-3-16,8,520860
2017-3-17,8,279588
2017-3-18,8,236718
2017-3-19,8,161838
2017-3-20,8,236862
2017-3-21,8,252534
2017-3-22,8,162726
2017-3-23,8,207756
2017-3-24,8,160926
2017-3-25,8,162648
2017-3-26,8,133482
2017-3-27,8,143166
2017-3-28,8,106380
2017-3-29,8,89880
2017-3-30,8,93348
2017-3-31,8,112416
2017-4-1,8,825672
2017-4-2,8,856764
2017-4-3,8,962886
2017-4-4,8,1041822
2017-4-5,8,1024776
2017-4-6,8,2664192
2017-4-7,8,2290686
2017-4-8,8,2204388
2017-4-9,8,2044260
2017-4-10,8,2087772
2017-4-11,8,2043948
2017-4-12,8,1735740
2017-4-13,8,1587606
2017-4-14,8,1404606
2017-4-15,8,831714
2017-4-16,8,520386
2017-4-17,8,543570
2017-4-18,8,419040
2017-4-19,8,342540
2017-4-20,8,354726
2017-4-21,8,353004
2017-4-22,8,306360
2017-4-23,8,289446
2017-4-24,8,235116
2017-4-25,8,272160
2017-4-26,8,228576
2017-4-27,8,214920
2017-4-28,8,214650
2017-4-29,8,221466
2017-4-30,8,122838
2017-5-1,8,177744
2017-5-2,8,141060
2017-5-3,8,195942
2017-5-4,8,197814
2017-5-5,8,188400
2017-5-6,8,194604
2017-5-7,8,131520
2017-5-8,8,747387
2017-5-9,8,1597961
2017-5-10,8,1523203
2017-5-11,8,1274596
2017-5-12,8,883263
2017-5-13,8,480197
2017-5-14,8,384580
2017-5-15,8,569248
